"event_id";"user_id";"event_name";"event_time";"event_order";"device_type";"country";"kyc_status";"error_reason";"row_num"
"EVT_1767573762090_1zlsc4hkm";87;"KYC_REJECTED";"11/30/2024 20:23:57";16;"MOBILE";"INDIA";"";"";1
"EVT_1767573762090_2166ws9f2";19;"KYC_SUBMITTED";"04/12/2023 01:46:16";2;"IOS";"JAPAN";"";"";1
"EVT_1767573762090_21mbn8e5w";47;"SIGNUP";"12/16/2023 01:21:56";2;"DESKTOP";"FRANCE";"";"";1
"EVT_1767573762090_26fcmhbtl";34;"SIGNUP";"10/11/2024 01:49:10";7;"ANDROID";"BRAZIL";" approved";"Network_Error";1
"EVT_1767573762090_271iudml5";79;"KYC_DOCUMENT_UPLOADED";"10/19/2023 06:24:27";3;"WEB";"GERMANY";"";"";1
"EVT_1767573762090_2dq6q39mr";30;"KYC_DOCUMENT_UPLOADED";"08/12/2024 00:45:19";2;"IOS";"INDIA";"";"";1
"EVT_1767573762090_2hp8ucjta";84;"KYC_STARTED";"02/11/2024 22:38:38";1;"WEB";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_2ndxzjkyc";41;"SIGNUP";"02/26/2023 16:49:52";2;"WEB";"USA";"";"";1
"EVT_1767573762090_2prkjn3eb";9;"KYC_APPROVED";"06/27/2024 23:47:21";2;"ANDROID";"SINGAPORE";"";"";1
"EVT_1767573762090_2qcck5oqc";85;"KYC_REJECTED";"08/09/2024 12:03:32";8;"IOS";"UK";"in_review";"";1
"EVT_1767573762090_2yg4d9ln1";54;"SIGNUP";"05/22/2023 19:43:29";3;"ANDROID";"AUSTRALIA";"";"";1
"EVT_1767573762090_2ymxv5usb";82;"SIGNUP";"02/15/2023 01:36:16";8;"DESKTOP";"CANADA";"IN_REVIEW";"";1
"EVT_1767573762090_30ov7tbgi";49;"TRANSACTION_FAILED";"08/27/2023 19:17:10";7;"MOBILE";"USA";"IN_REVIEW";"";1
"EVT_1767573762090_34k1v45r0";44;"KYC_DOCUMENT_UPLOADED";"07/05/2023 13:51:46";6;"WEB";"UK";"Approved";"";1
"EVT_1767573762090_37l21uhsn";25;"EMAIL_VERIFIED";"05/24/2023 08:55:24";2;"MOBILE";"CANADA";"";"";1
"EVT_1767573762090_37yzg2a48";10;"TRANSACTION_FAILED";"04/19/2023 19:54:16";4;"WEB";"AUSTRALIA";"PENDING";"";1
"EVT_1767573762090_3dh7qswak";85;"EMAIL_VERIFICATION_SENT";"08/05/2024 07:55:10";6;"ANDROID";"FRANCE";"rejected";"";1
"EVT_1767573762090_3ofcqi5im";53;"EMAIL_VERIFIED";"06/17/2024 09:09:43";2;"MOBILE";"UK";"";"";1
"EVT_1767573762090_3q2b07vm6";79;"KYC_STARTED";"10/19/2023 17:55:29";5;"ANDROID";"CANADA";"approved";"";1
"EVT_1767573762090_3yejuefzr";21;"KYC_SUBMITTED";"02/21/2024 23:58:21";7;"ANDROID";"CANADA";"REJECTED";"";1
"EVT_1767573762090_44sae0wy0";12;"KYC_APPROVED";"09/17/2024 23:07:48";2;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762090_4d3nc87ev";54;"KYC_APPROVED";"05/23/2023 04:57:12";6;"IOS";"UNITED STATES";"Pending";"";1
"EVT_1767573762090_4l7iys3un";74;"KYC_SUBMITTED";"03/29/2024 22:05:55";1;"WEB";"INDIA";"";"";1
"EVT_1767573762090_4lz5enr2c";54;"KYC_STARTED";"05/23/2023 03:54:56";4;"DESKTOP";"INDIA";"Approved";"";1
"EVT_1767573762090_4q7vy9xfw";24;"EMAIL_VERIFIED";"08/12/2023 06:34:00";2;"WEB";"USA";"";"";1
"EVT_1767573762090_4thbvyxgt";9;"KYC_STARTED";"06/27/2024 23:37:16";1;"ANDROID";"GERMANY";"";"";1
"EVT_1767573762090_4y5oxfyl0";77;"EMAIL_VERIFIED";"08/19/2024 16:10:45";5;"ANDROID";"GERMANY";"Pending";"";1
"EVT_1767573762090_4ydf06lpa";76;"SIGNUP";"11/06/2024 08:06:13";2;"DESKTOP";"SINGAPORE";"";"";1
"EVT_1767573762090_572qj7rre";58;"EMAIL_VERIFIED";"07/17/2024 23:05:34";3;"ANDROID";"UNITED STATES";"";"";1
"EVT_1767573762090_5bqkacng2";47;"KYC_APPROVED";"12/19/2023 10:04:20";9;"ANDROID";"UK";"pending";"";1
"EVT_1767573762090_5dq0fp4jt";44;"TRANSACTION_FAILED";"07/07/2023 11:59:40";9;"WEB";"UNITED STATES";"approved";"";1
"EVT_1767573762090_5ee0z3odg";82;"KYC_DOCUMENT_UPLOADED";"02/13/2023 02:52:45";3;"WEB";"GERMANY";"";"";1
"EVT_1767573762090_5etd7utxf";19;"KYC_APPROVED";"04/12/2023 01:24:57";1;"MOBILE";"AUSTRALIA";"";"";1
"EVT_1767573762090_5g3idi9u9";84;"KYC_DOCUMENT_UPLOADED";"02/12/2024 00:46:42";3;"DESKTOP";"AUSTRALIA";"";"";1
"EVT_1767573762090_5iswz2m96";20;"FIRST_TRANSACTION_INITIATED";"12/23/2024 17:05:47";1;"MOBILE";"BRAZIL";"";"";1
"EVT_1767573762090_5k12lr9t1";63;"KYC_APPROVED";"10/04/2024 01:34:59";1;"MOBILE";"SINGAPORE";"";"";1
"EVT_1767573762090_5pi62znfy";48;"EMAIL_VERIFICATION_SENT";"04/11/2023 07:38:07";1;"ANDROID";"BRAZIL";"";"";1
"EVT_1767573762090_65tgo8rid";44;"KYC_STARTED";"07/07/2023 11:54:50";8;"WEB";"INDIA";"in_review";"";1
"EVT_1767573762090_684hhzane";24;"KYC_STARTED";"08/12/2023 06:22:49";1;"ANDROID";"FRANCE";"";"";1
"EVT_1767573762090_6cg7e4mi1";88;"EMAIL_VERIFICATION_SENT";"02/16/2024 11:16:05";3;"ANDROID";"SINGAPORE";"";"";1
"EVT_1767573762090_6ga47vt1v";37;"KYC_STARTED";"10/13/2024 18:37:40";3;"ANDROID";"CANADA";"";"";1
"EVT_1767573762090_6ila7tr1x";65;"SIGNUP";"10/21/2023 05:01:42";2;"IOS";"CANADA";"";"age_verification_failed";1
"EVT_1767573762090_6jtj46x40";47;"SIGNUP";"12/16/2023 01:06:37";1;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762090_6s0oninyh";15;"KYC_STARTED";"11/07/2024 20:48:15";1;"IOS";"INDIA";"";"";1
"EVT_1767573762090_73h1qpqic";65;"FIRST_TRANSACTION_INITIATED";"10/21/2023 05:00:42";1;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762090_73sb2pero";79;"KYC_STARTED";"10/19/2023 04:35:26";1;"ANDROID";"USA";"";"";1
"EVT_1767573762090_77jssx1pd";42;"KYC_APPROVED";"05/18/2024 02:15:15";3;"MOBILE";"SINGAPORE";"";"";1
"EVT_1767573762090_77tski6po";85;"FIRST_TRANSACTION_INITIATED";"08/05/2024 04:45:24";4;"WEB";"FRANCE";"under_review";"";1
"EVT_1767573762090_7e7vzabh4";37;"EMAIL_VERIFIED";"10/13/2024 16:29:01";1;"IOS";"JAPAN";"";"";1
"EVT_1767573762090_7kk2othwt";76;"SIGNUP";"11/11/2024 15:02:56";8;"ANDROID";"GERMANY";"Pending";"";1
"EVT_1767573762090_7oohc1pn8";61;"TRANSACTION_FAILED";"07/10/2023 04:17:41";4;"IOS";"JAPAN";" approved";"";1
"EVT_1767573762090_7v20ys7m8";47;"KYC_DOCUMENT_UPLOADED";"12/16/2023 22:43:34";5;"WEB";"GERMANY";"failed";"";1
"EVT_1767573762090_7waso7yv6";82;"EMAIL_VERIFIED";"02/15/2023 01:39:40";9;"WEB";"USA";"pending";"age_verification_failed";1
"EVT_1767573762090_81ptte1dw";86;"SIGNUP";"08/10/2024 05:55:05";2;"WEB";"USA";"";"";1
"EVT_1767573762090_82y5mjqb4";32;"KYC_APPROVED";"11/08/2023 21:05:56";1;"WEB";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_83uerfozz";61;"SIGNUP";"07/09/2023 08:58:28";2;"ANDROID";"INDIA";"";"";1
"EVT_1767573762090_86l48k573";70;"EMAIL_VERIFIED";"06/01/2023 20:44:44";1;"ANDROID";"UK";"";"";1
"EVT_1767573762090_88bz57uek";29;"EMAIL_VERIFIED";"01/17/2024 12:38:16";2;"WEB";"INDIA";"";"";1
"EVT_1767573762090_8mu1pagy3";10;"KYC_STARTED";"04/19/2023 17:56:07";2;"WEB";"UK";"";"";1
"EVT_1767573762090_8y55cop5a";27;"EMAIL_VERIFICATION_SENT";"08/18/2023 07:04:12";1;"ANDROID";"FRANCE";"";"";1
"EVT_1767573762090_94surn5wm";42;"SIGNUP";"05/18/2024 00:41:27";2;"MOBILE";"AUSTRALIA";"";"";1
"EVT_1767573762090_96h55ej01";89;"EMAIL_VERIFIED";"04/12/2023 06:06:54";5;"ANDROID";"CANADA";"Pending";"";1
"EVT_1767573762090_974aisb1g";50;"TRANSACTION_FAILED";"12/24/2024 09:59:45";1;"ANDROID";"UK";"";"";1
"EVT_1767573762090_9fini8397";77;"EMAIL_VERIFICATION_SENT";"08/20/2024 10:22:30";7;"DESKTOP";"GERMANY";" approved";"missing_information";1
"EVT_1767573762090_9skgtarz3";76;"SIGNUP";"11/06/2024 08:03:47";1;"ANDROID";"USA";"";"";1
"EVT_1767573762090_a0vung7x2";58;"KYC_REJECTED";"07/17/2024 21:18:48";2;"ANDROID";"CANADA";"";"";1
"EVT_1767573762090_afjd6tsza";43;"KYC_DOCUMENT_UPLOADED";"08/31/2023 17:38:51";2;"MOBILE";"JAPAN";"";"";1
"EVT_1767573762090_agr5vvh4r";55;"KYC_REJECTED";"05/03/2023 08:27:32";4;"WEB";"BRAZIL";"Pending";"";1
"EVT_1767573762090_ark1xflku";86;"FIRST_TRANSACTION_INITIATED";"08/10/2024 05:58:27";3;"MOBILE";"UK";"";"";1
"EVT_1767573762090_av7ck46fy";29;"FIRST_TRANSACTION_INITIATED";"01/17/2024 12:27:45";1;"MOBILE";"GERMANY";"";"";1
"EVT_1767573762090_awofbnkcn";34;"EMAIL_VERIFICATION_SENT";"10/09/2024 23:51:17";4;"ANDROID";"JAPAN";"failed";"";1
"EVT_1767573762090_ayy6seuo9";59;"SIGNUP";"06/26/2024 04:38:31";1;"ANDROID";"USA";"";"";1
"EVT_1767573762090_b4e86ikr4";82;"SIGNUP";"02/13/2023 02:14:19";2;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762090_beouefbwn";25;"KYC_APPROVED";"05/24/2023 08:50:29";1;"WEB";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_bip6fg553";89;"KYC_STARTED";"04/13/2023 12:36:48";7;"WEB";"INDIA";"pending";"";1
"EVT_1767573762090_buyv2e3ay";46;"EMAIL_VERIFICATION_SENT";"03/15/2023 23:26:07";1;"WEB";"UK";"";"";1
"EVT_1767573762090_c17r9krdq";33;"EMAIL_VERIFICATION_SENT";"09/18/2024 16:35:56";1;"IOS";"UK";"";"";1
"EVT_1767573762090_c1whv207z";88;"FIRST_TRANSACTION_COMPLETED";"02/16/2024 10:10:47";2;"MOBILE";"CANADA";"";"";1
"EVT_1767573762090_cax4rgso8";57;"SIGNUP";"09/23/2024 03:52:22";4;"IOS";"INDIA";"under_review";"";1
"EVT_1767573762090_ce5oov6th";43;"KYC_DOCUMENT_UPLOADED";"08/31/2023 17:22:46";1;"MOBILE";"USA";"";"";1
"EVT_1767573762090_cno7cukt1";25;"EMAIL_VERIFICATION_SENT";"05/24/2023 10:34:03";3;"WEB";"USA";"";"";1
"EVT_1767573762090_cqhm06f96";36;"KYC_STARTED";"04/17/2024 23:41:34";1;"ANDROID";"USA";"";"";1
"EVT_1767573762090_d7jwvy7kd";57;"KYC_APPROVED";"09/23/2024 04:38:18";5;"DESKTOP";"USA";"Pending";"";1
"EVT_1767573762090_d98yxfg32";16;"KYC_REJECTED";"08/01/2023 23:11:08";1;"DESKTOP";"CANADA";"";" timeout";1
"EVT_1767573762090_dgmi1jn6b";45;"TRANSACTION_FAILED";"06/06/2023 17:18:18";1;"DESKTOP";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_ditkyq1qs";12;"FIRST_TRANSACTION_COMPLETED";"09/18/2024 10:57:56";4;"ANDROID";"INDIA";" approved";"";1
"EVT_1767573762090_dpy7rgt9d";38;"EMAIL_VERIFIED";"12/30/2024 14:04:04";3;"ANDROID";"CANADA";"";"";1
"EVT_1767573762090_dxdiefdqi";71;"KYC_APPROVED";"09/04/2023 23:50:27";3;"IOS";"FRANCE";"";"";1
"EVT_1767573762090_dzwe8kmyy";21;"FIRST_TRANSACTION_COMPLETED";"02/19/2024 18:05:14";3;"WEB";"USA";"";"";1
"EVT_1767573762090_e1o2h319p";34;"TRANSACTION_FAILED";"10/09/2024 21:26:25";1;"DESKTOP";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_e3oww4w9q";44;"KYC_SUBMITTED";"07/05/2023 02:40:39";3;"ANDROID";"FRANCE";"";"";1
"EVT_1767573762090_e6en8bfll";10;"EMAIL_VERIFIED";"04/19/2023 18:06:00";3;"ANDROID";"GERMANY";"";"";1
"EVT_1767573762090_e9m6io82z";40;"TRANSACTION_FAILED";"02/17/2024 18:13:00";2;"MOBILE";"CANADA";"";"";1
"EVT_1767573762090_ek1b2wi51";87;"SIGNUP";"12/01/2024 11:46:46";6;"ANDROID";"FRANCE";"IN_REVIEW";"";1
"EVT_1767573762090_el9uficaq";66;"KYC_SUBMITTED";"05/21/2024 01:16:23";1;"WEB";"JAPAN";"";"missing_information";1
"EVT_1767573762090_eqck31bt5";82;"EMAIL_VERIFIED";"02/13/2023 09:26:25";5;"ANDROID";"INDIA";"Pending";"";1
"EVT_1767573762090_erphq9dmt";87;"FIRST_TRANSACTION_COMPLETED";"11/30/2024 18:33:45";2;"ANDROID";"INDIA";"";"";1
"EVT_1767573762090_et74ppwwa";25;"TRANSACTION_FAILED";"05/25/2023 09:40:32";5;"IOS";"CANADA";"PENDING";"";1
"EVT_1767573762090_f67f4ju82";41;"SIGNUP";"02/27/2023 06:50:18";5;"WEB";"UNITED KINGDOM";"REJECTED";"";1
"EVT_1767573762090_faxj3i2yt";18;"EMAIL_VERIFIED";"10/14/2023 08:22:19";1;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762090_fbai5m9g1";26;"KYC_DOCUMENT_UPLOADED";"05/02/2023 22:40:33";2;"WEB";"GERMANY";"";"";1
"EVT_1767573762090_fdjugfxn5";80;"KYC_APPROVED";"01/16/2024 03:50:31";2;"WEB";"CANADA";"";"duplicate_account";1
"EVT_1767573762090_fgecjtldc";63;"TRANSACTION_FAILED";"10/04/2024 03:07:40";3;"WEB";"UK";"";"";1
"EVT_1767573762090_fjf5u1knr";79;"SIGNUP";"10/19/2023 04:37:37";2;"WEB";"USA";"";"";1
"EVT_1767573762090_fka9cm841";31;"KYC_APPROVED";"04/28/2023 00:38:03";2;"ANDROID";"BRAZIL";"";"";1
"EVT_1767573762090_fuwia3wa4";10;"FIRST_TRANSACTION_COMPLETED";"04/19/2023 22:50:25";6;"WEB";"INDIA";"PENDING";"";1
"EVT_1767573762090_fvvge7ien";21;"EMAIL_VERIFICATION_SENT";"02/19/2024 19:50:29";4;"MOBILE";"CANADA";"approved";"timeout";1
"EVT_1767573762090_fw63ibkgu";81;"KYC_APPROVED";"07/12/2023 11:19:50";2;"ANDROID";"INDIA";"";"";1
"EVT_1767573762090_fy1d5tggt";42;"SIGNUP";"05/18/2024 00:41:06";1;"MOBILE";"JAPAN";"";"";1
"EVT_1767573762090_g5jfuemvx";85;"SIGNUP";"08/04/2024 15:46:35";1;"MOBILE";"UNITED STATES";"";"";1
"EVT_1767573762090_gcvy3rpva";21;"KYC_STARTED";"02/19/2024 16:28:45";2;"IOS";"INDIA";"";"";1
"EVT_1767573762090_gd5iq38mt";35;"KYC_APPROVED";"11/24/2024 06:05:32";2;"ANDROID";"JAPAN";"";"";1
"EVT_1767573762090_gfl4ojapg";17;"EMAIL_VERIFIED";"08/10/2023 08:16:41";1;"WEB";"FRANCE";"";"";1
"EVT_1767573762090_gmys947or";49;"FIRST_TRANSACTION_COMPLETED";"08/29/2023 09:20:30";9;"MOBILE";"UK";"pending";"";1
"EVT_1767573762090_go9rmoc74";57;"KYC_DOCUMENT_UPLOADED";"09/23/2024 02:35:12";2;"WEB";"USA";"";"";1
"EVT_1767573762090_goa1ovnbx";61;"KYC_APPROVED";"07/11/2023 00:11:42";7;"IOS";"INDIA";"PENDING";"Network_Error";1
"EVT_1767573762090_gzkrkzb9c";49;"EMAIL_VERIFIED";"08/26/2023 00:03:34";3;"DESKTOP";"UK";"";"";1
"EVT_1767573762090_h527xp5x8";61;"KYC_REJECTED";"07/09/2023 08:47:15";1;"MOBILE";"GERMANY";"";"";1
"EVT_1767573762090_hk9xvo9j8";25;"SIGNUP";"05/27/2023 16:41:55";9;"ANDROID";"INDIA";" approved";"";1
"EVT_1767573762090_hnd2jnjf9";35;"KYC_APPROVED";"11/24/2024 05:58:20";1;"IOS";"CANADA";"";"";1
"EVT_1767573762090_hoqbqbm80";81;"KYC_STARTED";"07/12/2023 10:50:47";1;"MOBILE";"SINGAPORE";"";"";1
"EVT_1767573762090_hpd0alrqn";75;"FIRST_TRANSACTION_INITIATED";"12/18/2023 03:12:31";1;"DESKTOP";"SINGAPORE";"";"";1
"EVT_1767573762090_ht1lxj0st";85;"KYC_APPROVED";"08/04/2024 17:40:34";3;"MOBILE";"USA";"";"";1
"EVT_1767573762090_hu8r8ni9m";76;"EMAIL_VERIFICATION_SENT";"11/07/2024 00:55:33";4;"DESKTOP";"GERMANY";"PENDING";"";1
"EVT_1767573762090_hxmv0tnmw";55;"KYC_STARTED";"05/03/2023 06:52:18";2;"WEB";"SINGAPORE";"";"";1
"EVT_1767573762090_hyvm89f05";87;"TRANSACTION_FAILED";"12/03/2024 12:42:52";16;"WEB";"SINGAPORE";"in_review";"DOCUMENT_EXPIRED";1
"EVT_1767573762090_i02p27h3k";85;"KYC_STARTED";"08/09/2024 12:07:26";9;"DESKTOP";"GERMANY";"Approved";"";1
"EVT_1767573762090_i1s1waenj";49;"TRANSACTION_FAILED";"08/26/2023 18:30:50";6;"MOBILE";"AUSTRALIA";"under_review";"";1
"EVT_1767573762090_i3ukoptwo";49;"FIRST_TRANSACTION_COMPLETED";"08/25/2023 23:02:27";2;"MOBILE";"UNITED STATES";"";"";1
"EVT_1767573762090_i4jnd3gtk";89;"EMAIL_VERIFIED";"04/11/2023 17:19:36";3;"MOBILE";"INDIA";"";"";1
"EVT_1767573762090_i7uml2u3o";54;"KYC_APPROVED";"05/23/2023 04:51:06";5;"WEB";"GERMANY";"pending";"";1
"EVT_1767573762090_ibmrqull8";33;"KYC_REJECTED";"09/18/2024 16:44:21";2;"WEB";"GERMANY";"";"";1
"EVT_1767573762090_ig99yo5q3";58;"KYC_DOCUMENT_UPLOADED";"07/17/2024 21:05:58";1;"DESKTOP";"FRANCE";"";"";1
"EVT_1767573762090_ihtag9m4h";34;"KYC_REJECTED";"10/09/2024 21:41:04";3;"IOS";"USA";"";"insufficient_funds";1
"EVT_1767573762090_iipz1vog9";15;"KYC_STARTED";"11/07/2024 22:11:52";3;"IOS";"UNITED STATES";"";"";1
"EVT_1767573762090_ilee0culr";57;"KYC_SUBMITTED";"09/23/2024 02:10:12";1;"MOBILE";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_ilewhkqdt";13;"SIGNUP";"04/25/2024 04:51:50";1;"ANDROID";"UNITED KINGDOM";"";"";1
"EVT_1767573762090_inpy4tudz";82;"KYC_DOCUMENT_UPLOADED";"02/13/2023 05:29:36";4;"IOS";"BRAZIL";" approved";"document_expired";1
"EVT_1767573762090_iokieoukk";89;"KYC_APPROVED";"04/14/2023 08:10:05";8;"MOBILE";"CANADA";"REJECTED";"";1
"EVT_1767573762090_iv5vghqcc";71;"KYC_DOCUMENT_UPLOADED";"09/05/2023 13:35:54";5;"MOBILE";"CANADA";"Rejected ";"";1
"EVT_1767573762090_j4g897x2o";24;"EMAIL_VERIFICATION_SENT";"08/12/2023 08:15:48";3;"IOS";"INDIA";"";"";1
"EVT_1767573762090_j8ii7w12b";10;"SIGNUP";"04/21/2023 21:19:56";9;"WEB";"USA";"PENDING";"";1
"EVT_1767573762090_j9wqpc6aj";47;"EMAIL_VERIFICATION_SENT";"12/16/2023 02:22:17";3;"IOS";"FRANCE";"";"missing_information";1
"EVT_1767573762090_jbz3n6luo";38;"KYC_SUBMITTED";"12/30/2024 12:36:06";2;"WEB";"JAPAN";"";"";1
"EVT_1767573762090_jc38w2qqv";44;"TRANSACTION_FAILED";"07/05/2023 01:31:09";1;"WEB";"UNITED STATES";"";"";1
"EVT_1767573762090_je97utrv7";50;"EMAIL_VERIFICATION_SENT";"12/24/2024 10:03:07";2;"ANDROID";"UNITED STATES";"";"";1
"EVT_1767573762090_jfa5vpsco";49;"KYC_STARTED";"08/29/2023 09:18:59";8;"WEB";"USA";"failed";"";1
